,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
341,1680317562.2291555,28380,-7.032681861721874,0.28639525175094604,743.5640869140625
342,1680317597.0098002,28546,-7.019248858994997,0.09574417024850845,748.9507446289062
343,1680317631.9867096,28530,-7.049185615079303,0.2169119417667389,762.6532592773438
344,1680317666.9893634,28520,-7.023878510953126,0.2062171846628189,761.285400390625
345,1680317702.3715782,28564,-7.0535546861155884,0.18279141187667847,747.3928833007812
346,1680317737.4184203,28387,-7.040704619505092,0.25563323497772217,805.736572265625
347,1680317772.3577144,28538,-7.0420176966738435,0.12596070766448975,743.8255004882812
348,1680317807.5269701,28509,-7.046907757999399,0.19883942604064941,756.296875
349,1680317842.7635224,28508,-7.0049922627449694,0.0500764362514019,737.2786865234375
350,1680317877.9122863,28590,-7.024886644017346,-0.0341789685189724,743.5669555664062
351,1680317913.0958753,28552,-7.021856768847454,0.08551502227783203,744.59521484375
